"fecha";"super"
2020-01-06;313.84
2020-01-13;299.36
2020-01-20;299.36
2020-01-27;299.36
2020-02-03;320.56
2020-02-10;320.56
2020-02-17;320.56
2020-02-24;320.56
2020-03-02;320.56
2020-03-09;281.35
2020-03-16;281.35
2020-03-23;281.35
2020-03-30;255.47
2020-04-06;255.47
2020-04-13;255.47
2020-04-20;255.47
2020-04-27;255.47
2020-05-04;132.96
2020-05-11;132.96
2020-05-18;254.47
2020-05-25;254.47
2020-06-01;254.47
2020-06-08;254.47
2020-06-15;254.47
2020-06-22;254.47
2020-06-29;254.47
2020-07-06;254.47
2020-07-13;254.47
2020-07-20;254.47
2020-07-27;246.52
2020-08-03;246.52
2020-08-10;246.52
2020-08-17;246.52
2020-08-24;246.52
2020-08-31;246.52
2020-09-07;246.52
2020-09-14;246.52
2020-09-21;246.52
2020-09-28;246.52
2020-10-05;246.52
2020-10-12;246.52
2020-10-19;246.52
2020-10-26;246.52
2020-11-02;246.62
2020-11-09;246.62
2020-11-16;246.62
2020-11-23;246.62
2020-11-30;246.62
2020-12-07;226.9
2020-12-14;226.9
2020-12-21;226.9
2020-12-28;226.9
2021-01-04;226.9
2021-01-11;253.43
2021-01-18;253.43
2021-01-25;253.43
2021-02-01;275.51
2021-02-08;275.51
2021-02-15;275.51
2021-02-22;275.51
2021-03-01;275.51
2021-03-08;312.6
2021-03-15;312.6
2021-03-22;312.6
2021-03-29;312.6
2021-04-05;312.6
2021-04-12;363.96
2021-04-19;363.96
2021-04-26;363.96
2021-05-03;377.52
2021-05-10;377.52
2021-05-17;377.52
2021-05-24;377.52
2021-05-31;377.52
2021-06-07;399.36
2021-06-14;399.36
2021-06-21;399.36
2021-06-28;399.36
2021-07-05;397.96
2021-07-12;397.96
2021-07-19;397.96
2021-07-26;397.96
2021-08-02;414.29
2021-08-09;414.29
2021-08-16;414.29
2021-08-23;414.29
2021-08-30;414.29
2021-09-06;403.54
2021-09-13;403.54
2021-09-20;403.54
2021-09-27;403.54
2021-10-04;403.54
2021-10-11;403.54
2021-10-18;403.54
2021-10-25;403.54
2021-11-01;398.98
2021-11-08;398.98
2021-11-15;398.98
2021-11-22;398.98
2021-11-29;398.98
2021-12-06;426.98
2021-12-13;426.98
2021-12-20;426.98
2021-12-27;375
2022-01-03;375
2022-01-10;375
2022-01-17;375
2022-01-24;375
2022-01-31;375
2022-02-07;420.98
2022-02-14;420.98
2022-02-21;420.98
2022-02-28;420.98
2022-03-07;478.15
2022-03-14;478.15
2022-03-21;478.15
2022-03-28;478.15
2022-04-04;565.74
2022-04-11;565.74
2022-04-18;565.74
2022-04-25;565.74
2022-05-02;565.74
2022-05-09;607.8
2022-05-16;607.8
2022-05-23;607.8
2022-05-30;607.8
2022-06-06;607.8
2022-06-13;712.03
2022-06-20;710.05
2022-06-27;708.6
2022-07-04;666.27
2022-07-11;666.27
2022-07-18;666.27
2022-07-25;666.27
2022-08-01;666.27
2022-08-08;753.78
2022-08-15;751.22
2022-08-22;751.22
2022-08-29;751.22
2022-09-05;751.22
2022-09-12;751.22
2022-09-19;751.22
2022-09-26;751.22
2022-10-03;495.49
2022-10-10;495.49
2022-10-17;495.49
2022-10-24;495.49
2022-10-31;500.63
2022-11-07;500.63
2022-11-14;444.4
2022-11-21;444.4
2022-11-28;444.4
2022-12-05;444.4
2022-12-12;470.56
2022-12-19;470.56
2022-12-26;470.56
2023-01-02;470.56
2023-01-09;470.56
2023-01-16;397.46
2023-01-23;397.46
2023-01-30;397.46
2023-02-06;380.52
2023-02-13;380.52
2023-02-20;380.52
2023-02-27;380.52
2023-03-06;380.52
2023-03-13;428.05
2023-03-20;428.05
2023-03-27;411.99
2023-04-03;398.69
2023-04-10;398.69
2023-04-17;398.69
2023-04-24;398.69
2023-05-01;398.69
2023-05-08;398.69
2023-05-15;390.67
2023-05-22;390.67
2023-05-29;390.67
2023-06-05;390.67
2023-06-12;412.81
2023-06-19;412.81
2023-06-26;412.81
2023-07-03;373.86
2023-07-10;373.86
2023-07-17;373.86
2023-07-24;373.86
2023-07-31;373.86
2023-08-07;373.86
2023-08-14;376.65
2023-08-21;376.65
2023-08-28;376.65
2023-09-04;376.65
2023-09-11;376.65
2023-09-18;376.65
2023-09-25;376.65
2023-10-02;376.65
2023-10-09;465.75
2023-10-16;465.75
2023-10-23;465.75
2023-10-30;465.75
2023-11-06;465.75
2023-11-13;462.86
2023-11-20;462.86
2023-11-27;462.86
2023-12-04;462.86
2023-12-11;398.07
2023-12-18;398.18
2023-12-25;398.18
2024-01-01;398.18
2024-01-08;346.59
2024-01-15;346.59
2024-01-22;346.59
2024-01-29;346.59
2024-02-05;346.59
2024-02-12;372.43
2024-02-19;372.43
2024-02-26;372.43
2024-03-04;372.43
2024-03-11;370.82
2024-03-18;370.82
2024-03-25;370.82
2024-04-01;370.82
2024-04-08;370.82
